Module,Master
common-masters,uiCommonConstants
common-masters,wfSlaConfig
common-masters,TablePaginationOptions
RAINMAKER-PGR,ServiceDefs
tenant,tenants
tenant,citymodule
PropertyTax,Documents
PropertyTax,CancerCess
PropertyTax,ChargeSlabs
PropertyTax,CommonFieldsConfig
PropertyTax,ConstructionSubType
PropertyTax,ConstructionType
PropertyTax,Documents
PropertyTax,DuesOnPTMutation
PropertyTax,FireCess
PropertyTax,Floor
PropertyTax,Interest
PropertyTax,MapConfig
PropertyTax,MutationDocuments
PropertyTax,MutationPenalty
PropertyTax,MutationReason
PropertyTax,MutationRebate
PropertyTax,OccupancyType
PropertyTax,OwnerShipCategory
PropertyTax,OwnerType
PropertyTax,OwnerTypeDocument
PropertyTax,PTApplication
PropertyTax,PTWorkflow
PropertyTax,Penalty
PropertyTax,PropertyConfiguration
PropertyTax,PropertySubType
PropertyTax,PropertyType
PropertyTax,ReasonForTransfer
PropertyTax,Rebate
PropertyTax,RentalDetails
PropertyTax,SubOwnerShipCategory
PropertyTax,UpdateNumber
PropertyTax,UsageCategory
PropertyTax,UsageCategoryDetail
PropertyTax,UsageCategoryMajor
PropertyTax,UsageCategoryMinor
